MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;val_mse;val_rmse;val_nrmse;val_mae;val_wape;loss;val_loss
lstm_Model_0;[(168, 6), 24, 1, 32, 0];24;168;256;50;504967.9781508255;710.610989325964;0.07787517691243442;373.43353773652905;0.2917787275854467;571659.2862781757;756.0815341470625;0.08391581955017342;402.02878914084175;0.2784835551831458;[0.09754158556461334, 0.05544666573405266, 0.04681787267327309, 0.04511123150587082, 0.04424355924129486, 0.043557632714509964, 0.043191973119974136, 0.042866796255111694, 0.04257039725780487, 0.04247212037444115, 0.04208751022815704, 0.041768986731767654, 0.04152043163776398, 0.04134698584675789, 0.040987636893987656, 0.040760740637779236, 0.04047642648220062, 0.04022722318768501, 0.03989314287900925, 0.03966875746846199, 0.039635296911001205, 0.03929709643125534, 0.039008188992738724, 0.03886768966913223, 0.038692642003297806, 0.03856012970209122, 0.03865870460867882, 0.03844182938337326, 0.03825145587325096, 0.038079556077718735, 0.03805939480662346, 0.037956353276968, 0.037886641919612885, 0.03769828751683235, 0.03767550364136696, 0.03764168545603752, 0.037548407912254333, 0.03764177858829498, 0.037524595856666565, 0.037437476217746735, 0.037323594093322754, 0.03720768913626671, 0.037265121936798096, 0.0372467078268528, 0.03708415478467941, 0.037141479551792145, 0.03708578646183014, 0.03698809817433357, 0.03703891485929489, 0.037004802376031876];[0.08880017697811127, 0.0636962428689003, 0.0576704666018486, 0.05592718347907066, 0.05591040104627609, 0.054298870265483856, 0.05331805348396301, 0.05283503979444504, 0.05301295220851898, 0.052270662039518356, 0.05235050618648529, 0.05167616531252861, 0.050990357995033264, 0.050742171704769135, 0.05060771107673645, 0.050079017877578735, 0.04995223507285118, 0.05010019987821579, 0.04921584948897362, 0.049474261701107025, 0.0491047240793705, 0.049093760550022125, 0.04858363792300224, 0.048338279128074646, 0.047928933054208755, 0.04767240956425667, 0.04813157394528389, 0.04792405292391777, 0.04792756959795952, 0.04764319211244583, 0.047828804701566696, 0.04716617241501808, 0.04756118357181549, 0.04876897856593132, 0.047025926411151886, 0.04764188453555107, 0.04738032817840576, 0.04703317582607269, 0.047110993415117264, 0.046688906848430634, 0.04704673960804939, 0.04755322262644768, 0.04764882102608681, 0.0478326641023159, 0.04680100455880165, 0.046994633972644806, 0.04659538343548775, 0.04634071886539459, 0.04704049974679947, 0.04651661589741707]
lstm_Model_1;[(168, 6), 24, 1, 64, 0];24;168;256;50;481271.7256254982;693.7375048427887;0.07602602792797684;356.2041199583674;0.2783166865839314;522428.7638168073;722.7923379621614;0.08022112519002901;378.58925154773345;0.2622470916832868;[0.0810663253068924, 0.04760945215821266, 0.04434819146990776, 0.04345061630010605, 0.0428445003926754, 0.042134448885917664, 0.04156728461384773, 0.0411192961037159, 0.04046722501516342, 0.03972705453634262, 0.03940804675221443, 0.03885432705283165, 0.0386810302734375, 0.03844112530350685, 0.0384070985019207, 0.037975069135427475, 0.0378846675157547, 0.03764727711677551, 0.03756295144557953, 0.03740721940994263, 0.03746261075139046, 0.037352051585912704, 0.037078097462654114, 0.03706414997577667, 0.0368620939552784, 0.03688357397913933, 0.03679449111223221, 0.03653576970100403, 0.036638375371694565, 0.036476366221904755, 0.036625344306230545, 0.03630498796701431, 0.036422248929739, 0.036118678748607635, 0.03627544268965721, 0.03603330999612808, 0.03612251207232475, 0.0358220599591732, 0.035867951810359955, 0.035879094153642654, 0.03566502779722214, 0.035613395273685455, 0.035518281161785126, 0.03554029390215874, 0.03557949140667915, 0.035680994391441345, 0.03530646860599518, 0.03545740619301796, 0.03535524383187294, 0.03532249107956886];[0.06699555367231369, 0.057462986558675766, 0.055313240736722946, 0.05311272665858269, 0.052495017647743225, 0.05137190967798233, 0.050872594118118286, 0.049684930592775345, 0.04989644140005112, 0.048168085515499115, 0.04831760749220848, 0.049286309629678726, 0.04752128943800926, 0.04721583053469658, 0.04740157723426819, 0.047019392251968384, 0.047533538192510605, 0.04597189277410507, 0.04605049639940262, 0.04657271131873131, 0.04764356464147568, 0.04629124701023102, 0.04603804647922516, 0.04530113562941551, 0.04673599451780319, 0.04559484124183655, 0.04518613591790199, 0.045666761696338654, 0.04596654698252678, 0.04537372663617134, 0.046158403158187866, 0.04502888023853302, 0.046513333916664124, 0.046177562326192856, 0.044553838670253754, 0.04480833560228348, 0.045294925570487976, 0.04457181319594383, 0.044782184064388275, 0.045129142701625824, 0.04647838696837425, 0.04431605339050293, 0.04509897157549858, 0.04452645778656006, 0.04448218643665314, 0.04576527699828148, 0.044299084693193436, 0.045273102819919586, 0.04369009658694267, 0.04437777027487755]
lstm_Model_2;[(168, 6), 24, 1, 128, 0];24;168;256;50;517347.247114661;719.2685500664276;0.07882395069221124;363.7166682187187;0.2841865444055288;571684.258146636;756.0980479717138;0.08391765238309809;390.61687483586803;0.2705785728710927;[0.06822507083415985, 0.04503254219889641, 0.043464545160532, 0.04265882447361946, 0.04172464832663536, 0.04081467539072037, 0.04000670835375786, 0.03928360342979431, 0.03883644938468933, 0.038558509200811386, 0.038109395653009415, 0.0379645898938179, 0.037840355187654495, 0.03755304217338562, 0.03729947283864021, 0.03706907108426094, 0.03667081892490387, 0.03646577522158623, 0.03654119744896889, 0.03612833097577095, 0.035997096449136734, 0.03608426824212074, 0.035959698259830475, 0.035762809216976166, 0.03549838066101074, 0.03535829856991768, 0.03532930836081505, 0.03535544127225876, 0.035125743597745895, 0.03507460653781891, 0.03498469293117523, 0.03491568937897682, 0.03469977155327797, 0.03477467969059944, 0.03457193449139595, 0.03461474925279617, 0.034306857734918594, 0.03423033282160759, 0.0342019647359848, 0.034178197383880615, 0.033962637186050415, 0.03397701680660248, 0.034003909677267075, 0.03372931480407715, 0.033691998571157455, 0.033333670347929, 0.03317316621541977, 0.03353740647435188, 0.03320068493485451, 0.03322601318359375];[0.05894601345062256, 0.05511459708213806, 0.05350320413708687, 0.05200747773051262, 0.05133262649178505, 0.049766089767217636, 0.049705877900123596, 0.04882574453949928, 0.04815766587853432, 0.04778425395488739, 0.04746852442622185, 0.04720756784081459, 0.046477433294057846, 0.04626379907131195, 0.04628149792551994, 0.04649994894862175, 0.04649348929524422, 0.046713605523109436, 0.048016540706157684, 0.04548308998346329, 0.04519525542855263, 0.046324651688337326, 0.045480113476514816, 0.045896925032138824, 0.0464746467769146, 0.04680027440190315, 0.04686547443270683, 0.04593180865049362, 0.04585743322968483, 0.04644393175840378, 0.04643388092517853, 0.046934425830841064, 0.04729587212204933, 0.0470828153192997, 0.04626500606536865, 0.04720878601074219, 0.046674638986587524, 0.04539560154080391, 0.04523507505655289, 0.045685768127441406, 0.04903635382652283, 0.0465974435210228, 0.04779738560318947, 0.04606427997350693, 0.04726791754364967, 0.05070095136761665, 0.04507506266236305, 0.04751783609390259, 0.04557854309678078, 0.04804716259241104]
lstm_Model_3;[(168, 6), 24, 2, 32, 0];24;168;256;50;490942.81511128566;700.6731157332109;0.07678609487487242;361.15443312839716;0.28218456649277834;533676.4811757505;730.5316428298986;0.08108009354382892;382.89786967339137;0.2652316523067286;[0.07962056249380112, 0.04891190677881241, 0.0455772764980793, 0.044338539242744446, 0.043739523738622665, 0.04321928322315216, 0.04260977730154991, 0.04191271588206291, 0.04130791500210762, 0.04071572422981262, 0.040271639823913574, 0.03976251557469368, 0.039427220821380615, 0.039046384394168854, 0.038844965398311615, 0.03878990188241005, 0.03838767856359482, 0.03833339735865593, 0.038249123841524124, 0.03796583414077759, 0.03793727234005928, 0.037790026515722275, 0.03778830170631409, 0.03740905597805977, 0.037283800542354584, 0.03713841736316681, 0.037035953253507614, 0.03696984797716141, 0.0369337759912014, 0.03675062954425812, 0.036572493612766266, 0.036624662578105927, 0.036489054560661316, 0.03636912256479263, 0.036212921142578125, 0.03619135916233063, 0.03595944866538048, 0.03594260290265083, 0.03572527691721916, 0.035765644162893295, 0.03572724759578705, 0.03555883467197418, 0.03543631359934807, 0.0354604609310627, 0.03548683226108551, 0.035320281982421875, 0.03509388118982315, 0.035172685980796814, 0.03499077633023262, 0.03501313924789429];[0.0681224837899208, 0.05913541465997696, 0.05704439803957939, 0.05444560945034027, 0.05310966446995735, 0.05365347862243652, 0.05240754783153534, 0.05257519334554672, 0.05124584585428238, 0.048868924379348755, 0.04946492239832878, 0.0487690269947052, 0.049713749438524246, 0.04886385053396225, 0.048555709421634674, 0.04841580241918564, 0.04894205555319786, 0.04742830619215965, 0.04767616093158722, 0.04846784472465515, 0.047303713858127594, 0.04654614254832268, 0.04730492830276489, 0.04736589640378952, 0.046377867460250854, 0.047979164868593216, 0.04542965069413185, 0.046878695487976074, 0.04770273342728615, 0.04632657766342163, 0.04546098783612251, 0.04611561819911003, 0.046358928084373474, 0.046155184507369995, 0.046026065945625305, 0.04629014804959297, 0.044935207813978195, 0.045508433133363724, 0.04475770518183708, 0.04477835074067116, 0.0452352836728096, 0.045129869133234024, 0.04465063288807869, 0.0454661101102829, 0.04419540986418724, 0.04496949911117554, 0.044402848929166794, 0.04540329426527023, 0.04465503990650177, 0.04478548467159271]
lstm_Model_4;[(168, 6), 24, 2, 64, 0];24;168;256;50;504558.319113152;710.3226866102137;0.07784358209427;366.94713204620217;0.28671063645898265;534295.9925450863;730.95553390414;0.08112714027792897;387.2072649300656;0.26821675124537103;[0.07318171113729477, 0.04657486826181412, 0.04424595087766647, 0.043343640863895416, 0.04222379997372627, 0.04145914688706398, 0.040685173124074936, 0.039825793355703354, 0.039343491196632385, 0.038788530975580215, 0.03876188024878502, 0.03842448815703392, 0.03812399134039879, 0.037814557552337646, 0.037464965134859085, 0.03751447796821594, 0.03698563203215599, 0.03686979040503502, 0.03674035519361496, 0.0365053154528141, 0.03643430769443512, 0.0361785963177681, 0.03589097782969475, 0.035771992057561874, 0.035429179668426514, 0.035360418260097504, 0.035315509885549545, 0.0349954254925251, 0.0350772999227047, 0.03492335230112076, 0.03461607173085213, 0.034622080624103546, 0.03428773581981659, 0.034213386476039886, 0.03431906923651695, 0.03401138260960579, 0.033915918320417404, 0.03354794159531593, 0.0337517224252224, 0.03341539204120636, 0.03334328159689903, 0.03303974121809006, 0.03303662687540054, 0.03292779251933098, 0.0326969213783741, 0.032826896756887436, 0.03233339637517929, 0.03246142342686653, 0.0321405865252018, 0.03209850192070007];[0.062288690358400345, 0.05658533424139023, 0.053800150752067566, 0.0539647676050663, 0.05237346515059471, 0.05105186253786087, 0.050514157861471176, 0.0493004135787487, 0.04916800186038017, 0.04750702902674675, 0.04830187186598778, 0.047659795731306076, 0.047076791524887085, 0.0476686991751194, 0.048634983599185944, 0.04608573764562607, 0.04680542275309563, 0.046688999980688095, 0.04587306082248688, 0.045177098363637924, 0.04595140740275383, 0.045990969985723495, 0.04576737806200981, 0.0462082140147686, 0.04628227278590202, 0.04470385983586311, 0.046131741255521774, 0.04527880996465683, 0.04602648317813873, 0.04493808373808861, 0.046633280813694, 0.04683896526694298, 0.047059591859579086, 0.046518370509147644, 0.046240054070949554, 0.046390313655138016, 0.046171244233846664, 0.04942609742283821, 0.046387799084186554, 0.05125749111175537, 0.046949148178100586, 0.04853244870901108, 0.04860399663448334, 0.04929175227880478, 0.04844655469059944, 0.04603412374854088, 0.048338308930397034, 0.047056883573532104, 0.04734038934111595, 0.04695383086800575]
lstm_Model_5;[(168, 6), 24, 2, 128, 0];24;168;256;50;545857.0152260844;738.821368956045;0.08096672536504602;380.53262728053767;0.2973255333884847;557187.6472234284;746.4500299574167;0.08284684017285425;388.84605231680115;0.269351931983603;[0.06347227841615677, 0.04510999470949173, 0.043605737388134, 0.04238058999180794, 0.04091054946184158, 0.03993922844529152, 0.039269980043172836, 0.03863498568534851, 0.03794889524579048, 0.0373709537088871, 0.03694741800427437, 0.03649914264678955, 0.03659680113196373, 0.036263007670640945, 0.03590872883796692, 0.03575996309518814, 0.03516444191336632, 0.034924887120723724, 0.03463330492377281, 0.034338731318712234, 0.03416861966252327, 0.0336458720266819, 0.03353921324014664, 0.03359796479344368, 0.032796453684568405, 0.03302871063351631, 0.03267275542020798, 0.032332874834537506, 0.032078761607408524, 0.03155672177672386, 0.03136572986841202, 0.03078460320830345, 0.030551651492714882, 0.030110877007246017, 0.029880862683057785, 0.029141101986169815, 0.02909702993929386, 0.02807188592851162, 0.02722165733575821, 0.026975322514772415, 0.026552092283964157, 0.025931382551789284, 0.024906370788812637, 0.024619368836283684, 0.024143297225236893, 0.02355363592505455, 0.023428011685609818, 0.022817829623818398, 0.022375425323843956, 0.02204347401857376];[0.06036170572042465, 0.05332334712147713, 0.05362074822187424, 0.05297986418008804, 0.048599112778902054, 0.047519754618406296, 0.04745872691273689, 0.0477784126996994, 0.046929582953453064, 0.046480607241392136, 0.048129819333553314, 0.04760584235191345, 0.04638141021132469, 0.045823004096746445, 0.04586092010140419, 0.048610229045152664, 0.0471981056034565, 0.04608146846294403, 0.04697670415043831, 0.04794410988688469, 0.04770486429333687, 0.044893357902765274, 0.04752494767308235, 0.04718107730150223, 0.04487382993102074, 0.0460977666079998, 0.046001337468624115, 0.04897155985236168, 0.046513769775629044, 0.04595687985420227, 0.048832181841135025, 0.05262432619929314, 0.04808710888028145, 0.05005158111453056, 0.0502571277320385, 0.0494939386844635, 0.050627369433641434, 0.050234340131282806, 0.05046616494655609, 0.050983067601919174, 0.05120081454515457, 0.05172064155340195, 0.05216464400291443, 0.053365226835012436, 0.05028928443789482, 0.05108780041337013, 0.051368530839681625, 0.05165036395192146, 0.0511789508163929, 0.05228642001748085]
lstm_Model_6;[(168, 6), 24, 3, 32, 0];24;168;256;50;517361.81444895116;719.2786764870423;0.07882506043693614;378.15513665963385;0.2954679038021911;534569.1206274;731.1423395122184;0.08114787341978007;392.7669576148664;0.2720679256547904;[0.08744746446609497, 0.05334123596549034, 0.04646611586213112, 0.04494501277804375, 0.044167693704366684, 0.0435737781226635, 0.04299979656934738, 0.04249965399503708, 0.04159894585609436, 0.041020043194293976, 0.04062587022781372, 0.040269143879413605, 0.039827872067689896, 0.039431117475032806, 0.03923169523477554, 0.03888678923249245, 0.03865988925099373, 0.03833012282848358, 0.038153328001499176, 0.03807993605732918, 0.03775505721569061, 0.03765271231532097, 0.03754643723368645, 0.03723076358437538, 0.03716541454195976, 0.036908507347106934, 0.036597322672605515, 0.03652036935091019, 0.03629797697067261, 0.03612998127937317, 0.03610270470380783, 0.035853296518325806, 0.03566526621580124, 0.035380296409130096, 0.035509657114744186, 0.035036250948905945, 0.03507189080119133, 0.03504917398095131, 0.03467366471886635, 0.03447992727160454, 0.03444746509194374, 0.03438636660575867, 0.03389296308159828, 0.03392057493329048, 0.03367030248045921, 0.03368373215198517, 0.033517275005578995, 0.03326914831995964, 0.03316693380475044, 0.03317965194582939];[0.08159397542476654, 0.061503637582063675, 0.05733516067266464, 0.056462742388248444, 0.055286917835474014, 0.055773284286260605, 0.052330370992422104, 0.05285666137933731, 0.05138124153017998, 0.051950015127658844, 0.05038265883922577, 0.04955165833234787, 0.04924904927611351, 0.04987132176756859, 0.048974860459566116, 0.04879777878522873, 0.04858466610312462, 0.04874489828944206, 0.04728279262781143, 0.04788994416594505, 0.048677459359169006, 0.04760187864303589, 0.04711528867483139, 0.04665440320968628, 0.04746716842055321, 0.046824291348457336, 0.0469282902777195, 0.04650315269827843, 0.04684187099337578, 0.04578070715069771, 0.046345055103302, 0.045306600630283356, 0.04641289263963699, 0.04588115215301514, 0.0464445985853672, 0.045533258467912674, 0.04594670981168747, 0.04676830768585205, 0.04779331013560295, 0.0478593148291111, 0.047292184084653854, 0.04691484943032265, 0.046392716467380524, 0.049447789788246155, 0.0464717373251915, 0.04808584228157997, 0.04688604921102524, 0.047566089779138565, 0.0473937951028347, 0.048535946756601334]
lstm_Model_7;[(168, 6), 24, 3, 64, 0];24;168;256;50;498165.13788439834;705.8081452380657;0.07734883783430857;367.05584438446806;0.28679557780604087;549049.4549939288;740.9787142650785;0.08223959092842158;390.7002080749287;0.27063629743536616;[0.0693550780415535, 0.04622189700603485, 0.04445156455039978, 0.043247878551483154, 0.0424034483730793, 0.04136492311954498, 0.040415070950984955, 0.03997710719704628, 0.03936797007918358, 0.0391964465379715, 0.0388021357357502, 0.0383499413728714, 0.037814911454916, 0.03774488344788551, 0.03723563998937607, 0.036905206739902496, 0.036692582070827484, 0.03636598214507103, 0.03616252914071083, 0.035854823887348175, 0.035832133144140244, 0.03544122725725174, 0.034980408847332, 0.034779008477926254, 0.03466755524277687, 0.034465380012989044, 0.03424881398677826, 0.03404466062784195, 0.033595722168684006, 0.033521734178066254, 0.033140797168016434, 0.03261063992977142, 0.032711368054151535, 0.03224337473511696, 0.03176189213991165, 0.031447961926460266, 0.031188413500785828, 0.030924107879400253, 0.030429167672991753, 0.030290590599179268, 0.029915980994701385, 0.02931908890604973, 0.02879192866384983, 0.028570659458637238, 0.02804049849510193, 0.02749851904809475, 0.02719249576330185, 0.02661421149969101, 0.026393180713057518, 0.025611814111471176];[0.06202187016606331, 0.055825915187597275, 0.05546753853559494, 0.052172861993312836, 0.05170069634914398, 0.05038519576191902, 0.05073264613747597, 0.04986061528325081, 0.0488150492310524, 0.04862470552325249, 0.04904564842581749, 0.04817764088511467, 0.04647909849882126, 0.04803885519504547, 0.04729743301868439, 0.04880424588918686, 0.04742098227143288, 0.046091701835393906, 0.04665727540850639, 0.0464293397963047, 0.04505470395088196, 0.04553001746535301, 0.047795914113521576, 0.04921450838446617, 0.04576721414923668, 0.04518238827586174, 0.04589414224028587, 0.0481250025331974, 0.04768584296107292, 0.048327650874853134, 0.04775627329945564, 0.04816940799355507, 0.050452444702386856, 0.049540676176548004, 0.048640087246894836, 0.049459587782621384, 0.04777415469288826, 0.04837627708911896, 0.050604354590177536, 0.050722885876894, 0.05100024864077568, 0.04953689128160477, 0.05018898844718933, 0.054175425320863724, 0.05128415301442146, 0.053435277193784714, 0.05151582136750221, 0.05032442882657051, 0.05337582156062126, 0.05442681163549423]
lstm_Model_8;[(168, 6), 24, 3, 128, 0];24;168;256;50;507186.59779796435;712.1703432451848;0.07804606501317093;376.8572269882591;0.2944537944784009;543260.041881872;737.0617625965086;0.08180485711392993;400.46752858764063;0.27740207693788926;[0.061196450144052505, 0.04543275386095047, 0.04398222640156746, 0.042029689997434616, 0.04093005880713463, 0.04005482792854309, 0.039424389600753784, 0.03891214355826378, 0.03838427737355232, 0.037724874913692474, 0.03738526999950409, 0.036845650523900986, 0.03628336265683174, 0.03592342138290405, 0.03567608445882797, 0.03532721474766731, 0.03490614518523216, 0.03449666500091553, 0.03404778614640236, 0.03311704471707344, 0.03292025625705719, 0.03226473182439804, 0.03218747302889824, 0.031250353902578354, 0.030848858878016472, 0.030111262574791908, 0.029407521709799767, 0.028598055243492126, 0.027945687994360924, 0.027366550639271736, 0.026467135176062584, 0.02591017447412014, 0.024721700698137283, 0.02374257706105709, 0.022897424176335335, 0.02243073470890522, 0.021327195689082146, 0.02072526142001152, 0.01986103504896164, 0.019369443878531456, 0.01870081014931202, 0.017839834094047546, 0.01750449649989605, 0.017150413244962692, 0.016708647832274437, 0.01610245741903782, 0.015623417682945728, 0.014875328168272972, 0.014822608791291714, 0.014597227796912193];[0.060812145471572876, 0.0538603700697422, 0.05209668353199959, 0.05005844682455063, 0.04956631734967232, 0.04949971288442612, 0.04841385409235954, 0.04685552045702934, 0.04753590002655983, 0.04628238454461098, 0.0467706024646759, 0.04707243666052818, 0.04720334708690643, 0.04769736900925636, 0.047460854053497314, 0.04761283099651337, 0.04723450914025307, 0.04666847363114357, 0.04680514708161354, 0.04691331088542938, 0.04755060747265816, 0.048355840146541595, 0.048626091331243515, 0.04807065799832344, 0.048123933374881744, 0.04833194613456726, 0.047989461570978165, 0.04865590110421181, 0.05040911212563515, 0.05004425346851349, 0.049415167421102524, 0.05011448636651039, 0.05039782449603081, 0.05089377239346504, 0.052687883377075195, 0.05232328921556473, 0.05268983915448189, 0.05383947491645813, 0.053052037954330444, 0.05392356216907501, 0.053016383200883865, 0.053872112184762955, 0.05363757535815239, 0.052688151597976685, 0.05317454785108566, 0.05419102683663368, 0.05379410833120346, 0.05373753607273102, 0.053870853036642075, 0.05350871756672859]
